Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
COMMUNITY WEST BK,COMMUNITY WEST BSHRS,316,703767,"FRESNO, CA",SNM,3531,3531,100,92,25,0,N
GLENS FALLS NB&TC,ARROW FC,317,866000,"GLENS FALLS, NY",NAT,3513,3513,100,92,26,0,N
FRANDSEN B&T,FRANDSEN FC,318,751656,"LONSDALE, MN",SMB,3508,3508,100,92,37,0,N
RIVER B&T,RIVER FC,319,3437157,"PRATTVILLE, AL",SNM,3497,3497,100,93,22,0,N
CARROLLTON BK,CBX CORP,320,1001648,"CARROLLTON, IL",SNM,3445,3445,100,93,11,0,N
HOME BK NA,HOME BC,321,929978,"LAFAYETTE, LA",NAT,3433,3433,100,93,41,0,N
SUNWEST BK,H BC LLC,322,140362,"SANDY, UT",SNM,3432,3432,100,93,8,0,N
EXCHANGE BK,FRANK P DOYLE TR ARTICLE IX,323,507068,"SANTA ROSA, CA",SNM,3411,3411,100,93,16,0,N
BANK RHODE ISLAND,BROOKLINE BC,324,2434113,"PROVIDENCE, RI",SMB,3410,3410,100,93,21,0,N
FARMERS & MRCH ST BK,FARMERS & MRCH BC,325,214414,"ARCHBOLD, OH",SNM,3382,3382,100,93,38,0,N
MVB BK INC,MVB FC,326,2757205,"FAIRMONT, WV",SNM,3380,3380,100,93,6,0,N
BESSEMER TC NA,BESSEMER GRP,327,976703,"NEW YORK, NY",NAT,3335,3335,100,93,0,0,N
GULF COAST B&TC,,328,1458608,"NEW ORLEANS, LA",SNM,3314,3314,100,93,22,0,N
STEARNS BK NA,STEARNS FNCL SVC ESOP,329,141556,"SAINT CLOUD, MN",NAT,3273,3273,100,93,6,0,N
DL EVANS BK,DL EVANS BC,330,543262,"BURLEY, ID",SNM,3266,3266,100,93,39,0,N
FIRST FARMERS B&TC,FIRST FARMERS FC,331,139843,"CONVERSE, IN",SMB,3233,3233,100,93,38,0,N
BRAVERA BK,BRAVERA HOLDS CORP,332,971959,"DICKINSON, ND",SNM,3226,3226,100,93,29,0,N
NORTHERN B&TC,NORTHERN BC,333,900306,"WOBURN, MA",SNM,3197,3197,100,93,11,0,N
FIRST CMNTY BK,FIRST CMNTY BSHRS,334,2353595,"BLUEFIELD, VA",SMB,3173,3173,100,93,55,0,N
FIDELITY BK NA,FIDELITY FC,335,762474,"WICHITA, KS",NAT,3163,3163,100,93,16,0,N
MINNWEST BK,MINNWEST CORP,336,302656,"REDWOOD FALLS, MN",SNM,3159,3159,100,93,34,0,N
BANKWELL BK,BANKWELL FNCL GRP,337,3109043,"NEW CANAAN, CT",SNM,3157,3157,100,93,9,0,N
BANK ANN ARBOR,ARBOR BC,338,2390929,"ANN ARBOR, MI",SNM,3151,3151,100,93,17,0,N
CACHE VALLEY BK,CACHE VALLEY BKG CO,339,995076,"LOGAN, UT",SNM,3136,3136,100,93,21,0,N
FIRST NB,FIRST BC,340,439404,"DAMARISCOTTA, ME",NAT,3107,3107,100,93,18,0,N
WESTSTAR BK,WESTSTAR BHC,341,1447639,"EL PASO, TX",SMB,3101,3101,100,93,13,0,N
RED RIVER BK,RED RIVER BSHRS,342,2743244,"ALEXANDRIA, LA",SNM,3101,3101,100,93,27,0,N
BANTERRA BK,BANTERRA CORP,343,502849,"MARION, IL",SNM,3095,3095,100,93,37,0,N
GUARANTY B&TC NA,GUARANTY BSHRS,344,112163,"MOUNT PLEASANT, TX",NAT,3094,3094,100,93,33,0,N
FIRST CAROLINA BK,FIRST CAROLINA FS,345,2963266,"ROCKY MOUNT, NC",SNM,3086,3086,100,93,8,0,N
MACATAWA BK,WINTRUST FC,346,2634351,"HOLLAND, MI",SNM,3086,3086,100,93,28,0,N
BRISTOL CTY SVG BK,BEACON BC,347,13103,"TAUNTON, MA",SNM,3069,3069,100,93,17,0,N
FIRST PREMIER BK,UNITED NAT CORP,348,374653,"SIOUX FALLS, SD",SMB,3067,3067,100,93,13,0,N
COLONY BK,COLONY BC,349,491934,"FITZGERALD, GA",SNM,3055,3055,100,93,30,0,N
BANK OF MO,RELIABLE CMNTY BSHRS,350,330855,"PERRYVILLE, MO",SNM,3042,3042,100,93,28,0,N
LAKE RIDGE BK,LAKE RIDGE BC,351,525549,"MONONA, WI",SNM,3034,3034,100,93,17,0,N
FIRST CITIZENS CMNTY BK,CITIZENS FNCL SVC,352,978118,"MANSFIELD, PA",SMB,3022,3022,100,93,43,0,N
ANB BK,STURM FNCL GROUP INC,353,828651,"DENVER, CO",SMB,3022,3022,100,93,29,0,N
BANK OF TAMPA,TAMPA BAY BKG CO,354,273336,"TAMPA, FL",SNM,3003,3003,100,93,12,0,N
NATIONAL BK OF INDIANAPOLIS,NATIONAL BK INDIANAPOLIS CORP,355,2132941,"INDIANAPOLIS, IN",NAT,2998,2998,100,93,12,0,N
LONE STAR NB,LONE STAR NAT BSHRS TX,356,842460,"PHARR, TX",NAT,2989,2989,100,93,36,0,N
STAR FNCL BK,STAR FNCL GRP,357,547840,"FORT WAYNE, IN",SNM,2983,2983,100,93,36,0,N
JEFFERSON BK,JEFFERSON BSHRS,358,45560,"SAN ANTONIO, TX",SNM,2947,2947,100,93,13,0,N
NORTHRIM BK,NORTHRIM BC,359,1718188,"ANCHORAGE, AK",SNM,2947,2947,100,93,19,0,N
TIB NA,TIB,360,529958,"FARMERS BRANCH, TX",NAT,2932,2932,100,93,4,0,N
FARMERS B&TC,MAGNOLIA BKG CORP,361,12946,"MAGNOLIA, AR",SMB,2929,2929,100,93,33,0,N
ST CHARLES B&TC NA,WINTRUST FC,362,428547,"SAINT CHARLES, IL",NAT,2926,2926,100,93,7,0,N
BLUE RIDGE BK NA,BLUE RIDGE BSHRS,363,233527,"MARTINSVILLE, VA",NAT,2924,2924,100,93,26,0,N
FIRST CMNTY BK,FIRST COMMUNITY BSHRS,364,2596646,"BATESVILLE, AR",SNM,2919,2919,100,93,31,0,N
AUSTIN BK TX NA,JANE AUSTIN CHAPMAN LP,365,548351,"JACKSONVILLE, TX",NAT,2919,2919,100,93,68,0,N
NORTHWEST BK,NORTHWEST FC,366,1387605,"SPENCER, IA",SNM,2918,2918,100,93,21,0,N
INDUSTRIAL & CMRL BK,,367,1015560,"NEW YORK, NY",NAT,2914,2914,100,93,13,0,N
FIRST WESTERN TR BK,FIRST WESTERN FNCL,368,3158546,"DENVER, CO",SNM,2906,2906,100,93,13,0,N
FIRST DAKOTA NB,FIRST DAKOTA FC,369,441256,"YANKTON, SD",NAT,2902,2902,100,93,16,0,N
VILLAGE B&TC NA,WINTRUST FC,370,2298995,"ARLINGTON HEIGHTS, IL",NAT,2901,2901,100,93,7,0,N
PCB BK,PCB BC,371,3212402,"LOS ANGELES, CA",SNM,2890,2890,100,93,15,0,N
OLD PLANK TRAIL CMNTY BK NA,WINTRUST FC,372,3404207,"NEW LENOX, IL",NAT,2885,2885,100,93,14,0,N
LINKBANK,LINKBANCORP,373,557317,"CAMP HILL, PA",SNM,2879,2879,100,93,25,0,N
GUARANTY B&TC,GUARANTY CAPITAL CORP,374,84541,"BELZONI, MS",SNM,2873,2873,100,93,37,0,N
NATIONAL EXCHANGE B&T,NEB CORP,375,722544,"FOND DU LAC, WI",NAT,2866,2866,100,93,31,0,N
SOUTHEAST BK,EDUCATION LOAN FNC,376,3110197,"FARRAGUT, TN",SNM,2861,2861,100,93,13,0,N
BANCO DO BRASIL AMERS,,377,110936,"MIAMI, FL",SNM,2842,2842,100,93,3,0,N
SOUTHERN ST BK,SOUTHERN ST BSHRS,378,3629420,"ANNISTON, AL",SNM,2841,2841,100,93,14,0,N
ACADEMY BK NA,DICKINSON FC II,379,535753,"KANSAS CITY, MO",NAT,2832,2832,100,93,72,0,N
